VOYAGE,SEA,SALT,SPICE,RACK,TORTURE,PAIN
PAINT,PICTURE,BOOK,PAGE,NUMBER,COUNT,DRACULA
DOG,HOT,SUN,SET,PLAY,TOY,BOX
PEN,PAPER,PLANE,JET,ENGINE,GAS,STATION
PRIZE,FIGHT,BOX,LUNCH,TIME,WATCH,STOP
LIBRARY,CARD,SUIT,TIE,KNOT,WOOD,WORK
WATER,SLIDE,PLAYGROUND,KIDS,GOATS,MILK,SHAKE
CAMERA,PICTURE,FRAME,WORK,OUT,SIDE,DOOR
HANDLE,BAR,BEER,NUT,SHELL,EGG,CHICKEN
TAPE,VIDEO,SYSTEM,COMPUTER,OPERATOR,TELEPHONE,NUMBER
STUDENT,COMMITTEE,CHAIRMAN,BARD,BULLETIN,MESSAGE,POST
COLLECTION,STAMP,MAIL,CHAIN,GOLD,DUST,VACUUM
STARS,GENERAL,HOSPITAL,SURGEON,SCRUB,BRUSH,BRISTLES
MONARCH,BUTTERFLY,WINGS,PLANE,DOOR,BELL,TELEPHONE
BROKEN,RECORD,PLAYER,PIANO,BENCH,JUDGE,GYMNASTICS
HIT,PUNCH,BOWL,STRIKE,THREE,MUSKETEERS,SWORD
QUEBEC,FRENCH,UNDERGROUND,POTATO,SKIN,DIVE,BOMBER
STRAWBERRY,PATCH,EYE,DROPS,HINTS,CLUE,DETECTIVE
TWIRL,BATON,RELAY RACE,OLYMPICS,TORCH,LIGHT,BEER
HIT,BOTTOM,TOP,DRAWER,DESK,SERGEANT,RANK
ROBERT,STACK,PANCAKES,FLAT,KEY,CHAIN,REACTION
STRIP,POKER,FIREPLACE,DEN,MOTHER,SUPERIOR,LAKE
SITUATION,COMEDY,SKETCH,DRAW,BATH,OIL,ENGINE
FULL,MOON,BEAM,LIGHT,RAIN,SHOWER,STALL
RAT,SQUEAL,PIG,BACON,STRIP,NAKED,CENTERFOLD
BATTLE,CRY,WOLF,WHISTLE,TRAIN,EXPRESS,OPINION
SLAP,WRIST,WATCH,PATROL,OFFICER,COMMISSION,SALESMAN
OUT OF,WORK,FORCE,POWER,PLAY,SCENE,LANDSCAPE
SOCCER,LEAGUE,IVY,POISON,GAS,NERVE,OPTIC
CORAL,REEF,KNOT,BOW,ARROW,SHAFT,MINE
DIME,STORE,HOUSE,CAT,BLACK,PITCH,BASEBALL
FOREST,FLOOR,WAX,MUSEUM,PIECE,PERIOD,DOT
BUD,SHOOT,PLANT,FLOWER,POLLEN,BEE,STING
BELLY,BUTTON,SHIRT,TAIL,PIG,IRON,FLAT
CRUMB,COOKIE,DROP,TEAR,SHEET,METAL,WORKS
LAVA,LAMP,FLOOD,WATER,FLUID,MEDIUM,SPIRIT
FINGER,NAIL,HAMMER,TOOL,CHEST,HAIR,BOB
BLOOD,PRICE,STICKER,PIG,FARMER,BROWN,CHARLIE
ARCADE,VIDEO,MUSIC,CONCERT,PIANIST,MUSICIAN,PERFORMER
BARB,HOOK,FISH,PISCES,SIGN,ZODIAC,ASTROLOGY
DRAMA,PLAY,STAGE,PLATFORM,TRAIN,TICKET,SPEEDING
MOUSE,TRAP,DOOR,HINGE,JOINT,LINK,CHAIN
EARTH,PLANET,ORBIT,PATH,GARDEN,FLOWER,TULIP
DRAFT,HORSE,HIDE,SKIN,COVERING,FLOOR,TILE
DIPLOMAT,OFFICIAL,BUSINESS,EMPLOYER,PAYROLL,TAX,INCOME
PEA,SOUP,CHOWDER,CLAM,SHELL,TURTLE,LEATHERBACK
BLOOD,BANK,TELLER,STORY,BOOK,FICTION,MYTH
ROMAN,EMPIRE,EMPRESS,CONSORT,MISTRESS,OWNER,PROPERTY
PRELATE,CLERGY,THEOLOGY,SEMINARY,SCHOOL,FISH,GILLS
DRAWING,SKETCH,ARTIST,PAINTER,ROPE,NYLON,SYNTHETIC
RAIN,SHOWER,BABY,KID,GOAT,MOUNTAIN,RANGE
PLAGUE,BLACK,HOLE,WELL,PUMP,HANDLE,GRIP
ROTOR,BLADE,KNIFE,STEAK,BEEF,CATTLE,HERD
CANE,SUGAR,BEET,VEGTABLE,SOUP,CAN,OPENER
CHOCK,WHEEL,TIRE,SPARE,STRIKE,BOWLING,BALL
GLASS,SNIFTER,BRANDY,LIQUOR,SPIRITS,ANGEL,HEAVEN
SPIRAL,STAIRCASE,LANDING,FLIGHT,AIRLINE,CARRIER,AIRCRAFT
POPLAR,TREE,HOUSE,MORTGAGE,LOAN,INTEREST,HOBBY
MYRRH,INCENSE,SMELL,NOSE,HAIR,SPRAY,OCEAN
POKER,GAME,CARD,SHARK,TIGER,STRIPE,LINE
MOON,SATELLITE,DISH,PORCELAIN,CHINA,COUNTRY,BUMPKIN
VALVE,STEM,PLANT,LEAF,TABLE,LEG,PEG
ELIXIR,REMEDY,TONIC,WATER,LIQUID,VAPOUR,MIST
SNOW,FLAKE,CORN,PEPPER,SPICE,SEASON,WINTER
VETERAN,SOLDIER,SERGEANT,ARMY,ARTILLERY,SHELL,OYSTER
TRACK,RACE,HORSE,SADDLE,HORN,FOG,CLOUD
SOCCER,SPORT,EVENT,STADIUM,VENDOR,SAUSAGE,PORK
RIDDLE,PUZZLE,CROSSWORD,DICTIONARY,PAGES,WORDS,LANGUAGE
EMBARRASS,BLUSH,COSMETIC,SURGERY,HOSPITAL,EMERGENCY,RUSH
PROMONTORY,SPIT,SALIVA,GLANDS,HORMONE,STEROID,ANABOLIC
MUG,COFFEE,BEAN,STRIKE,BLOW,WIND,GALE
PEN,FOUNTAIN,SCULPTURE,CARVING,WOOD,CEDAR,DECK
WATCH,HANDS,FINGERS,NAILS,HEADS,EYES,PUPILS
HEART,ORGAN,BODY,SKIN,FUR,MINK,ANIMAL
TONE,SOUND,BARRIER,FENCE,SNOW,WHITE,PURE
GRILL,BARBECUE,HAMBURGER,PATTY,CAKE,ICING,SUGAR
PINK,SALMON,FISH,TANK,PROPANE,GAS,NATURAL
SHARP,NOTE,SCORE,MUSIC,SOUNDTRACK,MOVIE,HOME
CLOCK,TIME,LAP,DRINK,POUR,PITCHER,MOUND
DELTA,MARINE,BIOLOGY,DISCIPLINE,STUDY,DEN,MOTHER
FLOOR,GROUND,BOTTOM,FEEDER,BIRD,EAGLE,BALD
GARBAGE,WASTE,DISPOSAL,UNIT,ONE,NUMBER,DIGIT
PORTER,BELLHOP,GRATUITY,DOLLAR,MONEY,PAPER,CUT
SPIRAL,CURVE,TURN,SIGNAL,HAND,SPAN,BRIDGE
OCTANE,FUEL,OIL,CRUDE,REMARK,SAYING,AXIOM
SCORE,KEEP,CASTLE,BAILEY,COURT,STENOGRAPHER,SHORTHAND
TYPE,PRESS,PRINTING,CAPITALS,STATE,MISSISSIPPI,RIVER
SOCKS,PAIR,TWO,COUPLE,INTERCOURSE,ARGUMENT,FIGHT
DRAFT,CONSCRIPT,SLAVE,MASTER,CRAFTSMAN,APPRENTICE,JOURNEYMAN
KNITTING,NEEDLE,SYRINGE,INJECTION,FUEL,ENGINE,HORSEPOWER
MESH,SIEVE,FLOUR,PASTRY,TART,BUTTER,CHURN
LASER,BEAM,IRON,CAST,MOLD,SAND,BEACH
BEACH,PEBBLE,SHORE,LINE,STRAIGHT,EDGE,RULER
TIPPLE,IMBIBE,DRUNK,HANGOVER,HEADACHE,ASPIRIN,PILL
TORTURE,SHEER,SEETHROUGH,BLOUSE,SLEEVELESS,GOWN,EVENING
BALL,CRYSTAL,MINERAL,OIL,COCONUT,TREE,PALM
FENCE,POST,OFFICE,TOWER,CLOCK,PENDULUM,BOB
RIVER,BED,SHEET,METAL,ORE,MINE,SHAFT
WHEEL,WAGON,COVERED,VESSEL,PRESSURE,HIGH,DRUGS
HOME,PLATE,DINNER,TURKEY,FOWL,PENGUIN,ANTARCTIC
POLE,MAGNETIC,NORTH,DIRECTION,ROUTE,TRAVEL,VACATION
ROLF,MASSAGE,THERAPY,ILLNESS,SYMPTOMS,VOMITING,BILE
PUREE,BLENDER,KITCHEN,CUPBOARD,LINER,OCEAN,SWELL
PONY,COLT,PISTOL,SIXGUN,HOLSTER,BELT,BUCKLE
QUESTION,TEST,GRADE,MOUNTAIN,PEAK,POINT,PENCIL
STARE,SIGHT,ILLUSION,MIRAGE,DESERT,AWOL,RUNAWAY
RUNAWAY,WAIF,ORPHAN,SIBLING,SISTER,LITTLE,CHICKEN
CHICKEN,FRIED,GREASE,LUBRICATE,SLIPPERY,EEL,SKIN
IDIOT,VILLAGE,HAMLET,RUSTIC,YOKEL,LOCAL,DISTANCE
MACAW,PARROT,PIRATE,TREASURE,MAP,LEGEND,FAIRYTALE
LARD,RENDER,DRAWING,INK,INDIA,COBRA,HOOD
HOOD,NOGGIN,SKULL,CROSSBONES,FLAG,POLE,NORTH
CLAY,FIRE,KILN,OVEN,BAKERY,CONFECTION,SWEET
BAT,VAMPIRE,BLOOD,HAEMOGLOBIN,OXYGEN,TENT,CANVAS
SLOT,NOTCH,CARVE,WHITTLE,KNIFE,EDGE,GRIND
DEATH,CERTIFICATE,CORONER,MORGUE,COUNTY,LINE,DANCE
GRIND,AXE,HEAD,BEER,GRAIN,FIELD,ACRE
VERSE,STANZA,POEM,POET,KIPLING,AUTHOUR,PEN
ALARM,FRIGHT,SHOCK,ELECTRIC,ATMOSPHERE,PRESSURE,COOKER
CLEAVAGE,BRA,BOSOM,AUREOLA,NIPPLE,RUBBER,COMPOUND
CAVE,OPENING,BOTTLE,CAP,BASEBALL,DIAMOND,CARBON
BUTLER,SERVANT,INDENTURE,CONTRACT,LAW,JUSTICE,JUDGE
RUBBER,VULCANIZE,HEAT,TEMPERATURE,DEGREES,FAHRENHEIT,SCALE
POLITICAL,SLOGAN,CAMPAIGN,ELECTION,VOTE,CANDIDATE,CANVASS
PEDESTAL,STATUE,IDOL,WORSHIP,PRAY,BENEDICTION,BLESSING
ASGARD,VALHALLA,ODIN,GOD,ZEUS,OLYMPUS,MOUNT
KNIGHT,CHARGER,BATTERY,POSITIVE,ELECTRODE,PROBE,STELLAR
BARREL,COOPER,ARTISAN,GUILD,HALL,TOWN,SQUARE
ROOF,VENT,STEAM,BOIL,LANCE,JOUST,TOURNEY
LILAC,BUSH,SHRUBBERY,LANDSCAPE,GARDENER,MENIAL,TASK
DILATE,PUPIL,EYEBALL,MELANIN,PIGMENT,COLOUR,GREEN
TRAIN,DEPOT,BUS,SCHOOL,INSTITUTION,MENTAL,TELEPATHY
ATOM,NUCLEUS,PROTON,ELECTRON,CHARGE,NEGATIVE,COMMENT
SCOPE,VARIABLE,WEATHER,HURRICANE,WIND,BEAUFORT,SCALE
SPADE,DIG,TREASURE,ISLAND,CANARY,SONGBIRD,PERCH
CRAMP,MUSCLE,FIBRE,THREAD,SPOOL,SPINDLE,AXLE
TIC,TWITCH,NERVOUS,SYSTEM,SOLAR,FLARE,EMERGENCY
POMP,AWARD,REWARD,SERVICE,STATION,SPACE,OUTER
CHILD,FAMILY,HUSBAND,WIFE,DIVORCE,CUSTODY,JAIL
CHICKEN,EGG,BOILED,LOBSTER,PINCER,MOVEMENT,GRASSROOTS
PEACE,DOLDRUMS,TROPICAL,FISH,TROLL,BRIDGE,SPAN
PAWN,SHOP,DEPARTMENT,HEAD,FOAM,BEACH,SAND
EXHAUST,FAN,BLADE,ROTOR,TAIL,HELICOPTER,TRAFFIC
AVERT,DISASTER,TITANIC,ICEBERG,GLACIER,FLOW,SCAPA
BOG,PEAT,MOSS,FERTILIZER,NITRATE,CHEMICAL,REACTION
CLOUD,SCUD,MISSILE,PATRIOT,HERO,BRAVE,INDIAN
SPEAR,HEAD,ARROW,BOW,WAIST,BELLY,POT
INVALID,DISABLED,HANDICAP,GOLF,CLUB,PRIVATE,ARMY
MASTER,PUPPET,STRING,BALL,RUBBER,BOUNCE,REBOUND
PILL,BITTER,QUININE,MALARIA,DISEASE,CURE,HIDE
MEAT,EAT,CANNIBAL,AFRICA,PYGMY,LILLIPUT,GULLIVER
ABACUS,CALCULATOR,COMPUTER,BABBAGE,INVENTOR,PATENT,OFFICE
SNOWMAN,YETI,TIBET,MONK,MONASTERY,ABBOT,LEADER
CLOTH,EMERY,BOARD,NAIL,FINGER,POINT,PENCIL
AMULET,SCARAB,EGYPT,SPHINX,RIDDLE,ANSWER,QUESTION
BATON,CHEERLEADER,FOOTBALL,QUARTERBACK,TACKLE,BOX,COFFIN
THONG,SANDAL,FOOTWEAR,BOOTS,RIDING,HORSE,HALTER
DRONE,PLANE,SHAVE,BEARD,RAZOR,SHARP,CUNNING
LASSO,COWBOY,SPURS,BONE,FEMUR,LEG,WOODEN
BEAVER,DAM,HOOVER,VACUUM,CLEANER,WINDOW,PANE
PANE,GLASS,SHATTER,SHARD,POTTERY,EARTHENWARE,CLAY
FLUKE,ANCHOR,CHAIN,FENCE,RAPIER,SWORD,HILT
GERM,CULTURE,LITERATURE,TROLLOPE,ENGLISH,POUND,HAMMER
TRACT,LAND,SHIRE,SCOTLAND,EDINBURGH,CITY,STREET
MANOR,LORD,LADY,JEWELRY,GOLD,OUNCE,MEASURE
DUEL,DUELLIST,SECOND,MINUTE,TIME,HOURGLASS,SAND
SODA,CREAM,MILK,CASEIN,PROTEIN,ANIMAL,MUSKRAT
VASE,FLOWER,BLOSSOM,SPRING,WATER,WELL,PUMP
MOP,BUCKET,BRIGADE,FIRE,HALL,TOWN,SQUARE
WOOL,SHEEP,FLOCK,BIRDS,FEATHER,QUILL,GOOSE,CANADA
WORM,BAIT,TRAP,BEAR,SNOUT,PIG,HAM
FILE,FOLDER,HANGING,EXECUTION,PUBLIC,TRANSIT,SURVEY
SERVING,PLATTER,CHINA,HUTCH,DESK,CHAIR,KITCHEN
LAWN,ORNAMENT,CHRISTMAS,PRESENT,WRAPPING,PAPER,SHEET
STABLE,STALL,HORSE,JOCKEY,UNIFORM,POLICE,CAR
RESORT,VACATION,SUMMER,SEASON,AUTUMN,LEAVES,RAKE

